Material,Purchase Order,Posting Date,Tons Received
62020,68000512,2020-03-10,2.896855
62050,68000508,2020-03-11,18.218438
53265,68000514,2020-03-16,75.634
60137,68000514,2020-03-16,3.005
60463,68000507,2020-03-16,35.099244
60463,68000510,2020-03-16,48.408844
60463,68000510,2020-03-16,15.018766
61016,68000516,2020-03-16,78.95242
61016,68000516,2020-03-16,39.52874
61016,68000516,2020-03-16,9.80424
61047,68000516,2020-03-16,318.64989
61055,68000516,2020-03-16,18.654636
61183,68000516,2020-03-16,18.32532
61183,68000516,2020-03-16,18.38601
61183,68000516,2020-03-16,9.18272
61276,68000516,2020-03-16,38.104976
61283,68000516,2020-03-16,51.664144
61313,68000511,2020-03-16,6.796293
61316,68000511,2020-03-16,2.471028
61316,68000511,2020-03-16,9.840481
61440,68000516,2020-03-16,5.98494
61502,68000510,2020-03-16,41.842944
61502,68000510,2020-03-16,10.344404
61512,68000507,2020-03-16,2.546096
61580,68000511,2020-03-16,2.298464
61580,68000516,2020-03-16,56.269472
61632,68000514,2020-03-16,33.467
61632,68000514,2020-03-16,19.715
61670,68000516,2020-03-16,31.055808
62050,68000511,2020-03-16,15.609433
62070,68000514,2020-03-16,74.193
61085,68000512,2020-03-17,105.402595
61090,68000512,2020-03-17,18.108363
61090,68000512,2020-03-17,36.230922
61092,68000512,2020-03-17,338.82576
61092,68000512,2020-03-17,38.717616
61093,68000512,2020-03-17,30.631776
61093,68000512,2020-03-17,18.168528
61093,68000512,2020-03-17,61.404672
61095,68000512,2020-03-17,5.462408
61096,68000515,2020-03-17,138.40295
61096,68000515,2020-03-17,41.321875
61097,68000515,2020-03-17,18.842775
61099,68000515,2020-03-17,18.579078
61099,68000515,2020-03-17,2.615767
61099,68000515,2020-03-17,55.606341
61099,68000515,2020-03-17,55.800829
61101,68000515,2020-03-17,11.166477
61103,68000512,2020-03-17,3.120936
62020,68000512,2020-03-17,17.724095
60769,69000517,2020-03-18,16.407
60769,69000517,2020-03-18,49.483
60770,69000517,2020-03-18,15.833
60770,69000517,2020-03-18,23.722
60971,69000517,2020-03-18,41.124
60972,69000517,2020-03-18,16.998
61014,68000516,2020-03-18,19.56326
61055,68000516,2020-03-18,18.654636
61114,69000517,2020-03-18,37.407
61114,69000517,2020-03-18,22.584
61652,69000517,2020-03-18,5.488
61652,69000517,2020-03-18,57.729
61653,69000517,2020-03-18,2.779
61653,69000517,2020-03-18,97.907
61778,69000517,2020-03-18,35.271
61779,69000517,2020-03-18,52.048
61780,69000517,2020-03-18,47.108
61780,69000517,2020-03-18,10.501
61784,69000517,2020-03-18,19.967
61785,69000517,2020-03-18,20.368
60137,68000514,2020-03-19,73.09
60463,68000510,2020-03-19,6.01472
61031,68000516,2020-03-19,334.970454
61041,68000516,2020-03-19,81.467841
61055,68000516,2020-03-19,50.647233
61083,68000512,2020-03-19,14.070595
61084,68000512,2020-03-19,135.610139
61089,68000515,2020-03-19,163.322523
61090,68000515,2020-03-19,22.211826
61233,68000516,2020-03-19,56.996394
61502,68000510,2020-03-19,38.921436
61512,68000510,2020-03-19,11.205718
61564,68000516,2020-03-19,6.669936
61045,68000516,2020-03-23,15.527392
61083,68000512,2020-03-23,206.596327
61083,68000512,2020-03-23,173.668929
61083,68000512,2020-03-23,19.755344
61084,68000512,2020-03-23,12.608554
61084,68000512,2020-03-23,149.991947
61084,68000512,2020-03-23,52.40711
61085,68000512,2020-03-23,5.479035
61283,68000516,2020-03-23,16.351552
61293,68000516,2020-03-23,2.204454
61580,68000516,2020-03-23,2.269568
61784,69000517,2020-03-23,19.97
61264,68000510,2020-03-24,12.475066
61417,68000510,2020-03-24,15.726105
61514,68000510,2020-03-24,34.044077
61084,68000512,2020-03-25,291.217766
60463,68000507,2020-03-26,5.447792
61014,68000516,2020-03-26,8.40123
61014,68000516,2020-03-26,19.50716
61055,68000516,2020-03-26,18.817617
61263,68000519,2020-03-26,20.316045
61316,68000520,2020-03-26,56.342272
61502,68000519,2020-03-26,61.173106
61505,68000508,2020-03-26,2.249325
61512,68000519,2020-03-26,62.962028
61512,68000507,2020-03-26,5.081778
61514,68000519,2020-03-26,100.238628
61514,68000507,2020-03-26,2.271717
61566,68000516,2020-03-26,10.81064
61566,68000516,2020-03-26,18.80285
61566,68000516,2020-03-26,37.98701
61566,68000516,2020-03-26,56.49899
61862,68000521,2020-03-26,17.427946
61862,68000516,2020-03-26,37.765115
61862,68000516,2020-03-26,19.910774
61891,68000516,2020-03-26,19.108167
61891,68000516,2020-03-26,9.470249
61940,68000516,2020-03-26,27.786081
61941,68000516,2020-03-26,18.435993
62050,68000520,2020-03-26,42.476308
61102,68000515,2020-03-31,34.948641
61102,68000515,2020-03-31,49.653786
61102,68000515,2020-03-31,104.530881
61102,68000515,2020-03-31,35.089236
61103,68000515,2020-03-31,3.091179
61103,68000515,2020-03-31,18.751278
61784,69000517,2020-03-31,5.7
61001,68000519,2020-04-03,181.350078
61014,68000516,2020-04-03,8.3538
61014,68000516,2020-04-03,5.61306
61041,68000521,2020-04-03,63.034335
61046,68000521,2020-04-03,27.755914
61122,68000519,2020-04-03,80.399375
61130,68000519,2020-04-03,9.913414
61293,68000521,2020-04-03,41.277266
61316,68000520,2020-04-03,4.910017
61440,68000521,2020-04-03,19.733805
61440,68000521,2020-04-03,2.821845
61500,68000519,2020-04-03,251.25177
61566,68000516,2020-04-03,32.31921
61566,68000516,2020-04-03,13.59626
61580,68000520,2020-04-03,82.790512
61580,68000520,2020-04-03,146.439328
61580,68000520,2020-04-03,18.845792
61591,68000520,2020-04-03,93.144464
61591,68000520,2020-04-03,55.780144
61591,68000520,2020-04-03,465.38072
61592,68000520,2020-04-03,219.58944
61592,68000520,2020-04-03,2.694272
61862,68000516,2020-04-03,5.018514
61940,68000516,2020-04-03,8.101291
61941,68000516,2020-04-03,6.191234
62060,68000520,2020-04-03,108.82312
62060,68000520,2020-04-03,79.419984
62060,68000520,2020-04-03,9.905504
53265,68000518,2020-04-13,49.993
60136,68000518,2020-04-13,19.097
60137,68000518,2020-04-13,48.537
60232,68000518,2020-04-13,98.282
60810,68000518,2020-04-13,49.388
61046,68000521,2020-04-13,2.693992
61055,68000521,2020-04-13,18.468996
61080,68000518,2020-04-13,49.89
61083,68000524,2020-04-13,309.451821
61084,68000524,2020-04-13,220.292114
61085,68000524,2020-04-13,175.4226
61085,68000524,2020-04-13,175.4226
61095,68000524,2020-04-13,124.505486
61293,68000521,2020-04-13,10.825462
61313,68000525,2020-04-13,28.752507
61316,68000525,2020-04-13,7.069832
61440,68000521,2020-04-13,2.808195
61661,68000518,2020-04-13,24.912
61750,68000525,2020-04-13,57.499806
61750,68000525,2020-04-13,17.855565
61912,68000519,2020-04-13,18.689048
61931,68000524,2020-04-13,39.475189
