Bill. Date,Purchase Order,Material, Unit price,Tons Invoiced
2020-04-15,68000514,61632,718.84,33.647
2020-04-20,68000513,62040,5.16,49.204164
2020-04-20,68000512,61085,10.87,38.97993
2020-04-20,68000512,62020,10.87,17.724095
2020-03-02,68000512,61930,5.16,5.285586
2020-03-02,68000512,61931,5.16,8.379598
2020-03-25,68000512,61930,5.16,116.303436
2020-03-25,68000512,61931,5.16,122.86703
2020-03-25,68000512,61083,8.62,414.091195
2020-03-25,68000512,61084,8.62,641.835516
2020-03-25,68000512,61085,10.87,194.996615
2020-03-25,68000512,62020,10.87,186.971685
2020-03-25,68000512,61090,14.48,54.339285
2020-03-25,68000512,61092,5.56,377.543376
2020-03-25,68000512,61093,5.56,534.69752
2020-03-25,68000512,61094,7.84,147.416913
2020-03-25,68000512,61095,7.84,186.76161
2020-03-25,68000512,61099,11.41,15.51718
2020-03-25,68000512,61101,11.41,21.683319
2020-03-25,68000512,61103,19.35,3.120936
2020-03-31,68000511,62060,5.62,81.888352
2020-03-31,68000511,62050,7.91,15.663529
2020-03-31,68000511,62051,9.59,18.54411
2020-03-24,68000511,61580,5.62,18.628848
2020-03-24,68000511,62060,5.62,5.006176
2020-03-24,68000511,61313,7.91,2.267846
2020-03-24,68000511,61316,7.91,2.457665
2020-03-24,68000511,62050,7.91,7.924098
2020-03-24,68000511,61320,7.91,5.580904
2020-03-24,68000511,61505,9.59,15.53253
2020-03-24,68000511,61591,5.62,71.2012
2020-03-24,68000511,61580,5.62,18.382224
2020-03-24,68000511,61313,7.91,6.804182
2020-03-24,68000511,61505,9.59,2.25186
2020-03-17,68000511,61591,5.62,4.249952
2020-03-17,68000511,61580,5.62,15.818768
2020-03-17,68000511,62060,5.62,17.363696
2020-03-17,68000511,61505,9.59,2.24211
2020-03-17,68000511,62051,9.59,2.5662
2020-03-31,68000511,62060,5.62,108.278576
2020-03-31,68000511,62050,7.91,2.593549
2020-03-31,68000511,61320,7.91,8.376508
2020-03-31,68000511,62051,9.59,7.733895
2020-03-31,68000511,61507,9.59,11.096865
2020-03-25,68000511,61580,5.62,20.93728
2020-03-25,68000511,61313,7.91,4.489968
2020-03-25,68000511,61316,7.91,24.102022
2020-03-25,68000511,61505,9.59,2.22807
2020-03-25,68000511,61341,9.59,4.82469
2020-03-17,68000511,61591,5.62,16.97584
2020-03-17,68000511,61580,5.62,65.632112
2020-03-17,68000511,61313,7.91,14.906346
2020-03-17,68000511,61341,9.59,2.37354
2020-03-17,68000511,61591,5.62,29.879248
2020-03-17,68000511,61580,5.62,63.688464
2020-03-17,68000511,61313,7.91,15.161048
2020-03-17,68000511,61316,7.91,7.262066
2020-03-17,68000511,61341,9.59,4.813185
2020-03-24,68000511,61591,5.62,83.825504
2020-03-24,68000511,61580,5.62,30.24504
2020-03-24,68000511,61313,7.91,2.251424
2020-03-24,68000511,61505,9.59,13.04862
2020-03-24,68000511,61341,9.59,4.77477
